,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
34,2483.4944,2104.542,1842.8219,1949.1942,1736.8143,1730.6433,2627.7512,2364.6025,2667.9534,1872.8416
35,2896.71,2394.8071,2438.593,2389.4597,1884.4691,1812.9088,2878.246,2859.8694,3268.9536,1974.3564
36,2707.6516,2385.4968,2415.0576,2319.9873,1852.5082,1711.4109,2707.6724,2974.6062,3102.1267,1945.7269
37,2653.8865,2340.3926,2452.9495,2316.7158,1840.4916,1677.8208,2686.7573,2924.7385,3082.7542,1904.3151
38,2636.6907,2328.0784,2489.3438,2339.7415,1843.0923,1675.6329,2691.4963,2891.4795,3096.3564,1885.0477
39,2650.7795,2324.2527,2447.1987,2352.0972,1864.8481,1680.9752,2759.7976,2910.9812,3164.5544,1908.4763
40,2679.9238,2347.7664,2456.7156,2392.6218,1888.1349,1697.971,2793.519,2904.5034,3199.6333,1925.2568
41,2697.365,2371.6934,2469.5242,2420.8794,1905.3586,1710.4696,2815.6863,2920.6067,3230.0295,1943.0107
42,2697.0305,2391.3718,2483.158,2438.488,1912.4047,1716.614,2821.2341,2922.9895,3241.0059,1954.4912
43,2686.5898,2404.441,2496.515,2448.1838,1914.1595,1718.1237,2819.0867,2918.141,3242.8762,1960.7852
44,2671.7563,2411.2036,2507.3892,2451.9412,1912.8511,1717.098,2814.7173,2908.1758,3239.972,1963.5557
45,2656.7092,2413.1582,2516.4216,2452.1985,1910.0824,1715.1816,2810.2144,2894.8997,3234.7024,1963.9033
46,2644.0706,2411.861,2524.5393,2450.6404,1907.0115,1713.335,2806.6929,2881.1724,3229.275,1962.9185
47,2633.4675,2408.2805,2531.2876,2447.464,1903.4447,1711.6284,2803.7544,2866.673,3223.1262,1960.9417
48,2624.956,2403.2812,2537.0552,2443.2375,1899.6205,1710.1799,2801.321,2851.8489,3216.5637,1958.2811
49,2618.6206,2397.6099,2542.315,2438.5083,1895.7888,1709.176,2799.5208,2837.2341,3210.1077,1955.2504
50,2614.6174,2391.7866,2547.4045,2433.7524,1892.262,1708.6993,2798.5698,2823.849,3204.5303,1952.2288
51,2548.9539,2536.8103,2614.7322,2320.0613,1901.7618,1897.5006,2888.6895,2522.5889,3046.8813,1770.2616
52,2609.1992,2488.7246,2705.9175,2395.036,1878.5781,1900.0513,2836.4666,2558.5544,3146.088,1770.6353
53,2631.3223,2465.469,2514.738,2365.7617,1903.2878,1841.8977,3014.6045,2660.1748,3227.014,1864.1628
54,2708.04,2444.669,2459.7034,2373.0303,1913.4039,1846.0576,3077.453,2775.6367,3275.7263,1906.5054
55,2752.3247,2455.0046,2429.1506,2389.5198,1911.525,1881.0607,3114.5867,2779.2173,3272.7832,1935.4683
56,2771.5505,2471.4578,2402.3315,2404.0737,1914.0739,1897.7773,3117.562,2793.188,3267.537,1960.5376
57,2767.586,2486.6316,2376.1748,2410.9495,1914.3231,1902.2108,3102.4885,2796.8262,3252.267,1980.8035
58,2753.3193,2498.8281,2357.071,2415.496,1913.4337,1901.3864,3081.9316,2793.7366,3235.1997,1995.7776
59,2734.8013,2508.0034,2343.3733,2418.0796,1911.7386,1898.7458,3062.672,2786.9546,3219.3533,2007.1602
60,2714.904,2513.8364,2332.558,2418.4197,1909.0188,1895.6005,3046.3926,2776.8865,3204.4568,2015.914
61,2696.6677,2516.8342,2324.0083,2417.323,1905.8369,1893.013,3033.914,2765.4155,3191.1338,2022.8793
62,2681.1804,2517.6235,2316.783,2414.9958,1902.2805,1891.2966,3024.8013,2753.4604,3179.039,2028.6051
63,2668.044,2516.7412,2309.8113,2411.2732,1898.043,1890.3717,3018.005,2740.1873,3166.9177,2033.2047
64,2658.1653,2514.9753,2303.519,2406.9976,1893.7518,1890.524,3013.5525,2727.2126,3155.6892,2037.1527
65,2650.7249,2512.7583,2297.2537,2402.0435,1889.1494,1891.6149,3010.676,2713.8975,3144.5981,2040.5676
66,2645.1138,2510.2449,2290.6016,2396.3818,1884.215,1893.3999,3008.7637,2700.3574,3133.379,2043.5348
67,2642.704,2508.2417,2284.922,2391.3093,1879.8972,1896.3745,3008.4614,2688.8494,3123.8323,2046.6431
68,2251.19,1937.0168,744.1862,1341.7838,1590.5382,1357.5151,2414.7524,2098.9126,2399.9148,1963.3074
69,2410.8345,2147.8337,857.17065,1513.5101,1670.203,1590.1708,2568.2769,1922.0386,2463.9556,2068.4731
70,2537.205,2197.643,949.74,1511.185,1667.0964,1613.359,2606.6602,2173.7944,2508.0479,2131.616
71,2526.583,2137.4336,930.46405,1433.21,1639.552,1619.1909,2544.5466,2108.704,2459.756,2093.0461
72,2544.0227,2097.63,942.13776,1449.6813,1644.796,1646.4626,2518.348,2085.0688,2466.9324,2055.958
73,2551.7258,2077.4844,944.80255,1470.3217,1642.9796,1670.7032,2514.344,2079.8171,2468.0383,2039.5529
74,2535.5723,2059.1514,943.6011,1483.8978,1634.9288,1681.5514,2498.7305,2056.228,2455.585,2023.003
75,2514.8198,2047.3981,944.6816,1498.161,1627.3021,1687.2617,2484.8962,2037.4159,2443.4211,2008.8019
76,2483.5403,2036.4844,941.9062,1503.933,1616.4313,1686.005,2465.9722,2011.2212,2422.9158,1993.4117
77,2447.4707,2025.9392,937.92865,1504.5321,1604.4098,1679.3386,2443.7441,1984.8492,2399.3538,1976.4043
78,2409.6082,2016.1234,932.7633,1500.6188,1591.1218,1668.8059,2419.504,1960.3789,2373.615,1957.9213
79,2369.0247,2007.1763,925.4874,1491.4608,1575.7434,1654.4006,2392.8486,1933.1565,2344.2065,1937.4225
80,2332.1812,2000.551,918.8877,1481.3987,1560.4215,1638.4984,2367.1543,1913.47,2317.0627,1916.3446
81,2300.0537,1995.5969,912.57684,1470.3501,1545.0819,1622.3577,2342.8096,1901.0393,2291.8384,1895.1592
82,2267.805,1990.9996,904.41943,1455.9546,1528.3468,1604.6216,2317.8503,1885.602,2264.1963,1872.9581
83,2240.6575,1988.5372,897.4392,1442.9352,1512.6881,1587.2175,2295.2427,1875.4312,2239.7356,1850.9757
84,2213.6445,1986.8455,889.1949,1427.8285,1496.1597,1569.0667,2272.5916,1861.3995,2213.1975,1828.7638
85,2577.539,2779.8865,3130.035,2488.3027,1992.3666,1915.8885,3022.6492,2699.8323,3263.6475,1633.6716
86,2605.6833,2485.2751,3112.8557,2433.5222,1944.7029,1884.3943,2878.6245,2771.9094,3246.2954,1627.1128
87,2520.2527,2332.7725,2987.5337,2354.532,1934.122,1711.8644,2696.813,2792.1587,3090.4634,1633.8613
88,2506.9072,2266.4297,2902.3218,2310.2517,1905.0994,1620.9734,2623.7856,2844.198,3079.4258,1642.7239
89,2547.8308,2258.387,2799.159,2311.532,1911.0817,1618.9982,2733.6272,2834.596,3186.2275,1692.4113
90,2589.9495,2287.799,2764.2268,2349.8206,1919.8208,1647.347,2797.6763,2788.5605,3232.7769,1722.7574
91,2618.8044,2313.378,2737.1277,2376.7405,1929.9368,1673.3645,2847.2366,2787.535,3274.4302,1750.3892
92,2632.8904,2335.8914,2724.2195,2398.0715,1935.2502,1692.5358,2867.95,2787.6843,3292.0605,1769.7614
93,2635.951,2354.874,2722.5503,2414.1357,1937.2754,1704.8766,2871.0703,2787.0432,3297.2998,1783.0753
94,2630.1104,2368.361,2722.8533,2423.2346,1936.3989,1711.2032,2866.645,2784.1055,3295.958,1792.705
95,2620.4119,2376.5557,2723.0935,2427.6597,1934.0599,1713.5914,2859.465,2779.5388,3291.449,1799.8959
96,2610.0227,2380.7122,2722.8994,2429.0842,1930.9578,1713.895,2851.8237,2773.7175,3285.1233,1805.4067
97,2601.682,2382.5933,2723.5886,2429.372,1928.0176,1713.6837,2845.3562,2768.2678,3278.9485,1809.9982
98,2595.2139,2382.7847,2724.4167,2428.5974,1925.0696,1713.2361,2840.082,2763.3257,3272.877,1813.9757
99,2589.4426,2381.5156,2724.277,2426.4014,1921.5817,1712.3965,2835.1755,2757.327,3265.6562,1817.2229
100,2585.8865,2379.84,2724.8542,2424.1633,1918.4126,1711.908,2831.3757,2751.8115,3259.0557,1820.113
101,2583.7246,2377.7947,2725.501,2421.6204,1915.3038,1711.6748,2828.4402,2746.6353,3252.824,1822.7301
102,1136.9719,885.5995,491.17743,615.9451,929.4969,594.4266,1426.815,1272.3131,1277.7938,1183.7823
103,1304.418,829.43304,584.5731,681.05597,989.8232,633.8941,1391.3755,1248.5851,1323.0925,1190.2316
104,1317.4244,794.6398,557.6148,679.4235,983.1931,611.9206,1380.8284,1224.5975,1287.4166,1216.5419
105,1287.1223,773.1522,552.71295,662.84766,965.48737,594.8553,1322.0739,1145.6898,1256.0486,1189.4285
106,1351.378,790.4047,576.6412,686.42426,987.4349,622.994,1340.5045,1116.1218,1295.4923,1186.8936
107,1347.1829,797.2788,577.4724,684.4137,982.77606,631.84485,1335.4338,1090.2406,1282.0005,1184.8009
108,1335.676,800.8155,580.2906,681.15204,978.41876,636.1386,1324.3564,1062.3672,1268.6018,1177.2974
109,1329.5144,805.17694,583.0392,677.63574,974.81537,641.54724,1316.5634,1039.067,1257.4757,1171.2572
110,1321.4541,810.3494,584.2686,672.9115,970.5091,645.07526,1309.1116,1021.68207,1245.0261,1166.2986
111,1312.9193,816.27356,584.36896,667.8671,966.0521,647.7089,1302.8256,1007.2784,1232.6611,1161.4874
112,1305.1135,823.5009,584.33093,663.4346,962.2428,650.1498,1298.0522,996.22595,1221.4857,1156.8696
113,1297.249,831.5861,583.6544,659.22253,958.81604,652.17914,1294.8081,989.2514,1211.503,1152.7214
114,1288.5164,839.9489,582.3089,654.97845,955.2729,653.6942,1292.0814,983.22845,1201.7726,1148.2821
115,1279.8674,848.8329,580.95514,651.0759,952.13605,655.0297,1290.0879,977.8724,1193.0183,1143.8003
116,1271.4578,858.13574,579.64545,647.38153,949.34625,656.227,1288.8214,973.3064,1185.1833,1139.5156
117,1262.8114,867.4142,578.0283,643.5616,946.6008,657.0701,1288.0363,969.16925,1177.832,1135.401
118,1253.8147,876.1727,575.9067,639.5529,943.94684,657.38464,1287.6514,966.5063,1171.1312,1131.4862
119,2457.0276,2009.1602,932.89545,1549.5374,1674.8995,1553.6217,2531.774,2208.4014,2542.6936,2039.6176
120,2490.3076,2073.7056,945.78235,1608.7181,1663.7155,1693.9933,2566.5105,2024.2886,2483.4917,2079.4124
121,2606.5508,2200.9546,1013.48627,1605.6886,1680.0681,1733.4847,2680.502,2211.2224,2521.221,2166.447
122,2687.5083,2193.491,1021.17267,1557.4122,1693.0957,1768.0934,2688.4,2303.7354,2565.974,2181.94
123,2761.7888,2178.7104,1031.8566,1570.6677,1723.1509,1816.7466,2706.6655,2311.0488,2617.1877,2182.4434
124,2840.3496,2177.608,1045.3098,1607.5774,1755.32,1863.7864,2747.5781,2340.102,2675.7312,2199.0854
125,2883.1763,2173.6763,1048.2313,1634.1333,1774.9896,1893.7245,2766.184,2327.039,2703.773,2211.1807
126,2903.6033,2168.156,1051.1868,1657.8058,1789.9944,1912.2546,2774.0977,2304.8484,2717.9014,2221.0486
127,2903.2458,2160.6794,1050.469,1672.9558,1798.7195,1920.6927,2772.0752,2274.7454,2717.336,2227.278
128,2888.4124,2150.9456,1047.7051,1680.5647,1803.3075,1921.2633,2762.945,2242.6587,2707.8152,2229.9666
129,2864.3308,2140.096,1043.2949,1681.8219,1804.656,1916.2714,2749.6624,2210.5608,2692.56,2229.4075
130,2834.5322,2128.8862,1037.4332,1677.8281,1803.3638,1907.0668,2733.767,2179.8154,2673.9556,2225.9204
131,2801.204,2118.1829,1030.2847,1669.6783,1799.7365,1894.7448,2716.2996,2149.8735,2653.148,2219.702
132,2767.5898,2108.84,1022.78864,1659.2628,1794.5771,1880.7274,2698.8699,2123.704,2632.5144,2211.6235
133,2734.1128,2101.057,1014.6598,1646.8502,1787.7214,1865.4442,2681.4128,2099.9988,2611.8135,2201.7576
134,2699.8499,2094.8755,1005.5816,1632.4382,1778.9733,1848.7815,2663.4531,2076.0378,2590.0898,2189.901
135,2667.494,2090.777,996.8283,1617.8815,1769.435,1831.8595,2646.5732,2056.4084,2569.8022,2177.2085
136,2639.4004,2339.9915,2016.0056,2178.9973,1857.3562,1926.5662,2824.7341,2409.6362,2916.757,1979.9105
137,2807.3784,2527.0005,2195.7434,2390.2249,1861.8773,2014.9296,2923.5493,2578.229,3160.0664,2026.4142
138,2866.4692,2656.2295,2088.2375,2361.5317,1897.8175,2052.762,3176.6816,2772.3271,3199.969,2133.5085
139,2978.2524,2676.014,2096.3894,2386.0696,1924.5132,2107.6057,3240.4138,2883.9775,3222.2097,2173.7188
140,3018.4387,2698.9954,2088.2505,2410.601,1933.4319,2145.7344,3234.4797,2905.735,3212.6262,2206.8909
141,3017.3403,2720.1477,2066.1113,2426.4966,1940.3793,2156.7166,3205.0955,2926.8806,3201.0588,2240.3071
142,2994.0256,2735.5464,2034.7709,2430.0208,1942.5009,2154.793,3172.7654,2932.2751,3179.8945,2269.448
143,2967.4316,2744.9402,2004.888,2428.2266,1943.5729,2149.7476,3147.8633,2930.273,3157.359,2293.1416
144,2945.112,2750.3362,1978.6,2423.613,1944.6277,2145.6086,3131.4607,2925.3955,3136.8264,2312.7354
145,2927.8225,2752.775,1955.3336,2416.748,1945.2173,2143.2122,3120.7686,2916.9438,3117.9458,2328.7893
146,2915.7605,2753.1448,1935.3365,2408.8342,1945.6041,2143.0554,3114.0894,2905.903,3101.106,2341.8538
147,2908.6106,2752.3704,1918.6528,2400.8408,1946.0447,2145.2378,3110.0537,2893.8008,3086.725,2352.659
148,2904.5444,2750.9097,1904.1942,2392.6548,1946.1024,2149.202,3106.9382,2880.0945,3073.8281,2361.5142
149,2901.9307,2748.8608,1891.0615,2384.0935,1945.4994,2154.4211,3103.6536,2864.1545,3061.5142,2368.5088
150,2900.4836,2746.429,1879.0554,2375.4294,1944.4658,2160.8093,3100.216,2846.921,3049.9065,2374.0496
151,2899.8562,2743.8037,1867.7737,2366.6782,1943.0201,2168.177,3096.4575,2828.8706,3038.8464,2378.4998
152,2900.7593,2741.3132,1857.5555,2358.3801,1941.6558,2176.5615,3092.7124,2812.1047,3029.126,2382.5356
153,2526.4553,2019.7266,1073.6268,1658.7964,1701.8226,1640.0817,2565.9949,2234.9048,2585.5989,2046.3973
154,2531.6843,2085.753,1069.0118,1715.8044,1651.3607,1760.027,2547.3503,2014.178,2495.635,2046.0349
155,2630.3904,2255.4312,1102.1465,1702.1053,1663.13,1813.1412,2695.6338,2233.0085,2522.1614,2133.3103
156,2691.643,2256.5312,1096.427,1642.9429,1670.0011,1850.8573,2688.5608,2311.3293,2545.4048,2145.6045
157,2741.073,2238.9404,1096.407,1644.2754,1693.5458,1891.5504,2683.9932,2304.7383,2577.492,2144.6436
158,2802.4102,2235.7397,1103.7632,1673.4445,1723.6459,1930.5029,2710.133,2334.0403,2625.8713,2161.3164
159,2830.2253,2228.2551,1099.7626,1689.2903,1741.5428,1951.515,2716.2893,2317.4685,2645.4902,2173.147
160,2840.9695,2218.985,1097.3483,1703.4988,1756.0868,1961.9187,2717.0518,2294.6885,2655.82,2181.8186
161,2835.4868,2208.3914,1091.9768,1710.2556,1765.0278,1963.7935,2712.1304,2266.115,2654.3232,2186.9153
162,2817.9927,2195.6763,1084.8646,1710.3755,1769.8622,1958.7539,2702.064,2235.8171,2645.1418,2188.313
163,2792.5007,2182.0693,1076.3927,1705.183,1771.3063,1948.8943,2688.8447,2204.5657,2630.6182,2186.3574
164,2765.564,2169.0637,1068.3468,1697.6835,1771.0168,1936.7948,2675.3926,2179.4092,2615.8364,2182.5532
165,2735.4766,2156.7505,1058.8778,1686.503,1767.8376,1922.2313,2660.1614,2153.0918,2598.2542,2176.0562
166,2705.8015,2145.9941,1049.6711,1674.2972,1763.2345,1906.6248,2645.2598,2130.3523,2581.1907,2167.9287
167,2676.994,2137.1272,1040.346,1661.0862,1757.095,1890.5004,2630.7449,2110.041,2564.2808,2158.4656
168,2649.3435,2130.0154,1031.0842,1647.3491,1749.7018,1874.1041,2616.5354,2092.046,2547.7656,2147.8413
169,2622.2742,2124.579,1021.6556,1633.0223,1741.0533,1857.4225,2602.3953,2074.8284,2531.021,2136.0999
170,906.4553,605.5287,669.7657,463.81973,711.2839,483.48737,1047.5925,957.7474,863.85443,911.1146
171,1426.8553,964.1743,1333.1261,613.87616,958.36017,577.76843,1089.5076,1333.6643,1020.51184,1054.3218
172,1226.4697,816.16235,950.9476,495.96823,891.8296,468.2456,1146.6868,1257.6754,1001.0328,1121.1093
173,1256.6671,804.41144,969.95856,524.40857,932.97845,478.69604,1154.8066,1153.0039,1045.0685,1114.8898
174,1332.1115,830.2655,1025.5475,549.9934,978.25757,524.2648,1211.5934,1114.636,1118.0955,1137.3842
175,1311.7173,835.0214,1008.92554,545.7776,973.7249,538.4852,1227.7013,1079.0602,1122.5204,1138.9341
176,1294.3445,837.7955,998.39984,544.6391,968.13873,549.8118,1230.8439,1053.0281,1118.8259,1132.2302
177,1278.5166,839.4436,989.0599,541.7389,961.776,559.727,1229.8348,1036.6753,1113.4023,1125.0299
178,1261.0873,842.5227,979.04425,538.53705,955.57935,567.1773,1227.7208,1027.1733,1106.2522,1118.4276
179,1242.5553,845.1389,968.08765,535.0185,949.607,573.03955,1225.0035,1019.8712,1098.1659,1112.1422
180,1226.2147,848.7114,959.47455,532.4452,945.51807,578.65155,1222.8936,1015.1018,1091.031,1107.291
181,1211.1166,852.2979,951.49554,529.9974,942.13226,583.701,1221.519,1011.4075,1084.3761,1103.7747
182,1196.2985,854.83527,943.3466,527.3767,938.7295,587.873,1219.9529,1006.59216,1077.4452,1100.7935
183,1183.3484,857.1032,936.378,525.131,936.1141,591.76495,1218.8293,1001.36255,1071.2295,1098.875
184,1171.3495,858.4824,929.39923,522.7047,933.4635,595.05505,1217.9233,995.0418,1065.1823,1097.7191
185,1159.7717,858.48816,921.72974,519.9668,930.50964,597.5316,1216.805,987.7978,1059.1606,1096.8612
186,1149.2175,857.7572,914.8308,517.33563,927.7029,599.6517,1215.3083,978.61707,1053.0721,1096.3304
187,864.306,588.3232,592.3782,442.1726,692.1859,456.60925,1033.7772,917.36163,855.3107,897.08215
188,1413.236,931.8468,1265.5863,605.25494,958.83215,572.72363,1067.9712,1288.162,1015.65063,1036.2133
189,1271.4899,819.86053,948.86566,506.64328,910.93,475.16058,1157.8337,1271.6732,1023.8936,1127.4648
190,1295.326,810.1581,965.517,532.0737,944.2198,482.33936,1167.2572,1165.0355,1062.1338,1118.5964
191,1376.3822,841.0496,1023.91113,560.5969,989.76276,528.28546,1227.2279,1132.0411,1138.311,1138.8473
192,1352.0048,845.63513,1005.1242,555.94403,984.0178,542.38904,1242.7903,1095.24,1142.1094,1138.3041
193,1328.439,846.3701,991.1863,553.9361,976.98706,553.1407,1244.3284,1064.497,1137.0961,1129.5409
194,1309.9269,847.31055,981.1257,551.1337,970.715,563.5439,1242.8763,1045.0519,1132.0189,1121.6282
195,1287.5104,847.9673,967.09015,546.6204,962.9148,570.58826,1239.7114,1032.1692,1123.7784,1114.0299
196,1267.2936,849.8845,955.12524,543.1255,956.93427,576.8454,1236.5776,1024.5958,1115.9406,1107.4894
197,1248.9945,852.732,945.01385,540.1712,952.20764,582.6945,1234.0061,1019.271,1108.4244,1102.3536
198,1231.9584,855.7226,935.52277,537.40485,948.181,587.82434,1232.031,1015.4471,1101.3187,1098.4325
199,1216.3834,858.3695,926.6807,534.8422,944.70715,592.33673,1230.3901,1012.1076,1094.653,1095.433
200,1201.6385,860.19775,918.468,532.2597,941.31177,596.2388,1228.5116,1006.34607,1087.6373,1092.9811
201,1189.1262,861.92676,911.31165,529.99817,938.7102,599.85034,1227.4299,1001.4466,1081.7731,1091.79
202,1177.459,862.76794,904.4321,527.55597,935.8764,602.8251,1226.1411,995.1101,1075.6426,1091.0072
203,1167.3197,863.2678,898.3293,525.2994,933.41266,605.4463,1225.1006,988.5658,1070.0573,1090.871
204,1667.9822,1356.6145,587.6797,951.86865,1268.0963,923.3826,1901.3986,1755.8854,1846.4211,1564.305
205,1535.5084,1243.6703,549.90594,915.01886,1204.4373,909.5136,1802.577,1417.0063,1664.8612,1530.9938
206,1517.9573,1202.7743,584.5993,933.16943,1177.8217,856.91144,1720.6938,1472.6888,1622.0237,1485.7129
207,1429.85,1126.0189,548.24896,866.2837,1107.1842,810.36115,1618.5265,1389.3218,1520.7668,1410.4601
208,1451.4529,1110.3632,560.0542,878.3753,1102.3079,810.3785,1585.028,1358.8959,1523.7836,1362.1587
209,1464.835,1104.7478,561.5912,881.4561,1093.4651,813.2782,1567.1223,1341.5044,1512.2623,1337.9263
210,1458.9431,1099.4934,561.7722,878.0372,1082.9542,810.09357,1541.96,1309.569,1491.2715,1314.63
211,1457.8447,1100.2245,565.00165,877.26526,1077.2411,809.64496,1524.958,1284.5646,1478.2754,1296.4281
212,1450.3094,1101.507,566.04156,871.82,1069.451,808.3256,1508.2924,1258.552,1460.4323,1280.2229
213,1443.0846,1105.1917,568.0268,866.44055,1062.966,807.02374,1494.2832,1240.3588,1445.3049,1265.8167
214,1433.6559,1109.9814,568.8448,858.9889,1055.3967,805.3872,1481.4642,1223.4391,1428.536,1252.3627
215,1424.9994,1117.0591,570.1774,851.99023,1048.628,803.8936,1470.6188,1210.838,1413.5933,1239.8616
216,1416.3213,1125.2622,571.20984,844.776,1042.1024,802.3304,1461.5073,1202.7161,1399.6068,1228.435
217,1406.8251,1133.6921,571.7925,837.2097,1035.5781,800.4155,1453.1544,1196.2255,1385.908,1217.3647
218,1397.1716,1142.3793,572.1595,829.6768,1029.4446,798.37506,1445.8295,1190.4857,1373.0695,1206.8206
219,1387.6023,1151.1991,572.4645,822.27167,1023.7633,796.3078,1439.4333,1185.0704,1361.1045,1196.8972
220,1379.3247,1160.2941,573.2767,815.7249,1019.1112,794.603,1434.3577,1182.163,1351.0961,1187.8439
221,2550.744,2805.7522,3311.884,2424.9883,1978.0938,1816.7283,2987.1755,2824.1663,3193.1025,1537.2235
222,2585.1213,2493.9404,3323.3257,2388.2507,1934.0347,1839.4081,2864.319,2804.7986,3183.409,1512.1702
223,2609.1873,2364.536,3145.9695,2384.8125,1996.5023,1763.1857,2881.7822,2769.0247,3234.624,1584.2474
224,2630.568,2306.533,2951.3274,2371.835,1998.2473,1677.1825,2883.644,2861.7087,3326.5066,1643.1348
225,2668.8264,2322.119,2872.224,2397.3467,1996.1144,1674.1444,2928.5903,2857.5227,3383.602,1695.3677
226,2699.8718,2358.244,2844.7705,2427.5188,1995.7582,1695.6025,2965.3225,2855.2031,3414.057,1732.5349
227,2707.8357,2391.0125,2831.8408,2448.8545,1992.7311,1714.9702,2976.191,2849.9724,3418.2769,1756.7728
228,2701.7473,2415.1672,2826.4297,2463.6265,1989.3057,1727.2057,2969.7842,2845.226,3412.8096,1773.1395
229,2688.4387,2431.0698,2822.8816,2472.745,1985.8567,1733.3804,2957.0708,2841.04,3404.8318,1785.3855
230,2672.6453,2440.5508,2819.1353,2477.754,1982.2826,1735.573,2943.343,2836.2974,3395.9265,1795.2048
231,2658.572,2446.007,2816.2175,2480.799,1979.1755,1736.0535,2931.6125,2832.2576,3387.8813,1803.6996
232,2646.7327,2448.6108,2813.5261,2482.1995,1976.1428,1735.6577,2922.0942,2828.6567,3380.1753,1811.2325
233,2637.1316,2449.3237,2811.0913,2482.3843,1973.0078,1734.8728,2914.2825,2824.846,3372.319,1817.8778
234,2630.505,2449.099,2809.7153,2482.2378,1970.2081,1734.3334,2908.5398,2821.6995,3365.4011,1823.9795
235,2626.482,2448.3342,2809.2656,2481.9707,1967.7378,1734.1647,2904.6235,2819.4058,3359.5842,1829.7157
236,2623.2258,2446.7844,2808.2954,2480.8052,1964.8824,1733.8702,2901.2666,2816.3188,3353.2441,1834.8431
